,naNe,fold,log2fold,tstat,pvalue,qvalue,updown,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,3M_neg,29M_neg,maxint,mean1,sd1,mean2,sd2,3M1_1,3M1_2,3M2_1,3M2_2,3M3_1,3M3_2,3M4_1,3M4_2,3M5_1,3M5_2,3M6_1,3M6_2,3M7_1,3M7_2,3M8_1,3M8_2,29M1_1,29M1_2,29M2_1,29M2_2,29M3_1,29M3_2,29M4_1,29M4_2,29M5_1,29M5_2,29M6_1,29M6_2,29M7_1,29M7_2,29M8_1,29M8_2,Mode
31,N112T5,1.634537149,0.708882167,6.847151998,2.27E-07,4.49E-06,UP,112.0515702,112.0515131,112.0516685,5.17185,5.137983333,5.2101,32,16,16,19196.885,157215.6045,33909.7358,256974.7461,47396.46798,129872.1535,188173.537,107612.1905,139862.331,94447.4011,126658.2982,134369.4061,172745.8986,168989.7097,204701.3849,177619.3748,217039.0399,144158.7993,170176.0523,161959.5533,177064.5421,190651.2215,238653.8957,201277.4892,240612.7208,197744.3671,265637.8541,208760.2148,247281.7967,237272.2653,262345.4967,262794.2403,292624.8359,323015.7374,360335.8385,276000.9039,306587.0591,Neg
32,N179T5_7,1.472502326,-0.558269913,-6.931893473,2.30E-07,4.49E-06,DOWN,179.1207778,179.1205462,179.1211502,4.833125,4.785516667,4.8848,32,16,16,4682.756,49765.36529,7678.880035,33796.45955,5093.751675,58460.34515,69857.87207,53080.82273,57129.47276,39997.28684,44430.27059,46464.6953,48157.94137,53650.84,55218.19228,46630.73282,46205.8792,45689.69153,43026.8271,46308.5868,41936.3881,41962.94759,36882.32774,38118.07806,32755.72595,31848.26335,24815.55382,38457.59744,31959.5667,38085.85129,31043.94865,29800.71379,24653.38414,39718.54631,35396.06134,35601.04582,29643.74084,Neg
33,N343T3,3.710573108,1.891642032,7.278982511,2.72E-07,5.16E-06,UP,342.9507812,342.9503603,342.9512213,3.453066667,3.397816667,3.709666667,20,4,16,3617.923,5222.81989,3954.615673,21367.08426,7941.557773,341.1198942,1860.056253,0,308.0408812,1920.898614,3598.895628,5962.736206,14190.02556,4161.828664,6324.146695,6587.207335,10175.09568,6687.623247,9282.918711,4552.215268,7612.309597,17768.04085,21262.19363,23807.84206,30158.80919,10115.18089,14063.14794,20979.44254,13992.87478,14238.30865,13735.62063,39775.56458,31523.6805,26256.05599,17496.59396,26307.47112,20392.52086,Neg
34,N349T3_2,3.924181751,1.972391862,7.192257258,4.45E-07,8.02E-06,UP,349.2032385,349.2027706,349.2036616,3.452808333,3.402,3.709666667,20,5,15,3625.273,5214.092214,3501.236182,20461.04552,7723.068254,932.7782709,2412.757415,497.8076785,1424.093421,1681.878289,3765.067841,6190.312043,12913.60286,4076.282085,6826.170068,6563.659534,9649.97567,6383.310426,8871.79428,3912.170161,7323.815386,17462.44765,20488.68322,22709.69958,29390.10725,11699.66069,12373.30651,20191.935,11539.10611,14408.87051,13654.39162,38657.37306,31666.46311,23573.55848,16921.32706,24125.54671,18514.25169,Neg
35,N346T3_2,3.422578322,1.775083556,7.024809609,4.49E-07,8.02E-06,UP,346.0557862,346.0536796,346.0577177,3.472225,3.398083333,3.762483333,40,16,16,319494.5,593903.1615,370265.9215,2032680.086,730808.6432,275339.8075,232911.5565,255442.0032,172630.7644,420859.2531,362564.2732,1104719.942,1278506.517,217610.192,643875.2891,1049530.635,933946.3474,859191.6999,790871.6381,225385.896,679064.7695,2053659.413,1836590.937,2494197.504,2571917.005,1526131.561,1378242.69,2026749.416,569149.6881,1409120.213,1217141.118,3459335.353,3219215.806,2244483.469,2008113,2274105.954,2234728.247,Neg
36,N75T4,1.837426622,0.877686637,6.50821096,4.85E-07,8.41E-06,UP,75.00838258,75.00830888,75.00847217,3.612675,3.576566667,3.8275,32,16,16,10098.327,30935.53863,9562.258785,56841.78225,12731.03908,42322.4572,49970.57845,28923.7723,34987.72672,16147.65427,18516.38193,40373.00738,36843.36206,32519.24866,42100.21881,25967.28801,29402.72292,21651.35671,23898.1283,22766.32534,28578.38905,53741.86748,65147.12175,53104.28148,52145.72497,40208.92197,35204.67408,34421.83072,44672.4577,67020.61901,66676.59025,67830.17106,77372.08299,67107.73432,61332.41751,60177.90304,63304.11771,Neg
37,N775T3,2.636650437,-1.398706314,-6.355189382,5.25E-07,8.72E-06,DOWN,774.5421422,774.5417734,774.5437719,3.13605,3.0184,3.443016667,19,12,7,6099.763,50137.87859,13714.47355,18480.13489,14454.85502,13018.42346,49233.01955,47146.7138,73051.47428,43547.83165,48664.11865,51928.82119,40748.97602,63162.92164,41585.62447,51943.50487,41097.41029,56874.47669,53984.66305,58249.77945,67968.29843,22593.72109,17985.1492,53690.1109,34861.27238,16582.41895,11686.78323,30605.43279,34891.81347,12159.10065,15733.35895,0,508.2429084,17638.79146,19100.00577,3740.169949,3905.786586,Neg
38,N195T4_4,1.610059922,0.687114382,6.349276826,5.30E-07,8.72E-06,UP,195.0703436,195.0700258,195.0705422,3.615691667,3.5798,3.841483333,32,16,16,4489.001,26161.72272,7225.045799,42121.94123,6992.727664,32410.60905,41495.42839,28424.98753,31840.71996,12995.71655,15255.13331,31477.65809,29373.13991,29238.09708,31779.18969,22968.6574,24480.5848,19759.89183,21531.63521,21989.51514,23566.59957,41597.79376,44671.18428,37107.48311,40588.51576,35436.84507,31159.1684,29466.35452,33326.79554,43450.79353,45552.8686,52076.95314,49767.19794,46274.39208,45562.27901,50227.02963,47685.40537,Neg
39,N249T5,1.553211572,0.635254361,6.295769933,6.19E-07,9.92E-06,UP,249.0776314,249.0774336,249.0778656,5.282391667,5.2475,5.311716667,18,3,15,2830.529,14255.72186,3633.07657,22142.15216,3450.664294,10627.52779,15368.41824,9290.604652,13182.37567,11285.25109,14049.84445,13162.08624,13441.76777,13963.03954,19652.97807,14375.11604,24462.86435,11769.37643,13191.9381,13587.45638,16680.905,24553.13464,27137.19712,18841.17517,24542.04561,16687.27476,20391.28309,16588.02413,23784.67434,16830.14031,20383.14307,22545.93775,23595.14186,23809.12371,26768.1066,23271.87617,24546.15628,Neg
40,N254T4,1.973521109,0.98077195,7.034252774,6.37E-07,9.95E-06,UP,254.0772901,254.076915,254.0776268,3.575583333,3.542066667,3.813433333,32,16,16,43724.66,193786.0631,43990.89954,382440.886,97843.40081,161728.4678,161069.6416,136229.0842,141749.9191,149312.4037,146768.0054,231643.7702,196878.9888,216055.7694,237583.7186,285099.5051,255515.7093,178756.3226,186871.0677,212976.6475,202337.9882,332912.6481,296964.6514,295867.4263,296802.7373,227849.2718,285622.4268,397358.164,340710.884,394664.8797,323069.9612,510723.36,531338.4974,420683.0262,437521.4917,477189.9896,549774.7609,Neg
