-log10pvalue	-log10qvalue	rank	basepairs
496.55	489.94	644	1
496.29	489.68	645	1
495.94	489.33	646	1
495.62	489.01	647	4
495.21	488.61	651	3
495.19	488.59	654	4
495.16	488.56	658	2
495.07	488.47	660	1
494.91	488.31	661	1
494.78	488.18	662	2
494.44	487.85	664	2
494.13	487.54	666	2
493.93	487.34	668	2
493.85	487.26	670	2
493.69	487.10	672	1
493.65	487.06	673	2
493.51	486.92	675	1
493.40	486.81	676	1
493.11	486.52	677	1
492.49	485.90	678	1
492.37	485.78	679	2
492.27	485.69	681	4
491.98	485.40	685	1
491.83	485.25	686	1
491.78	485.20	687	4
491.73	485.15	691	1
491.28	484.70	692	2
490.64	484.06	694	1
490.61	484.04	695	2
490.44	483.87	697	1
490.32	483.75	698	2
490.28	483.71	700	2
490.14	483.57	702	1
490.00	483.43	703	1
489.96	483.39	704	1
489.55	482.98	705	1
489.28	482.71	706	1
489.12	482.55	707	1
488.97	482.40	708	1
488.90	482.33	709	2
488.78	482.21	711	1
488.69	482.13	712	1
488.46	481.90	713	5
488.26	481.70	718	1
488.01	481.45	719	1
487.63	481.07	720	1
487.58	481.02	721	1
487.38	480.82	722	1
487.28	480.72	723	1
487.24	480.68	724	1
487.06	480.50	725	3
486.97	480.42	728	4
486.92	480.37	732	4
486.78	480.23	736	2
486.62	480.07	738	1
486.13	479.58	739	1
486.03	479.48	740	1
485.79	479.24	741	1
485.48	478.93	742	1
485.44	478.89	743	1
485.41	478.86	744	4
485.10	478.56	748	1
484.63	478.09	749	1
484.34	477.80	750	1
483.90	477.36	751	1
483.81	477.27	752	2
483.43	476.89	754	2
483.07	476.53	756	1
482.82	476.28	757	1
482.52	475.98	758	1
482.19	475.65	759	1
481.99	475.45	760	1
481.75	475.21	761	1
481.63	475.10	762	1
480.75	474.22	763	1
480.08	473.55	764	1
479.78	473.25	765	1
479.68	473.15	766	1
479.09	472.56	767	1
478.95	472.42	768	1
477.94	471.41	769	1
477.57	471.04	770	1
